fridge.sales  durable.goods.sales      Q1      Q2      Q3      Q4   Quarter
	1317		    252.6	1	0	0	0  	  1
	1615	            272.4	0	1	0	0  	  2
	1662		    270.9	0	0	1	0	  3
	1295	            273.9	0	0	0	1	  4
	1271	            268.9	1	0	0	0	  1
	1555	            262.9	0	1	0	0	  2
	1639	            270.9	0	0	1	0	  3
	1238	            263.4	0	0	0	1	  4
	1277	            260.6	1	0	0	0	  1
	1258	            231.9	0	1	0	0	  2
	1417	            242.7	0	0	1	0	  3
	1185	            248.6	0	0	0	1	  4
	1196	            258.7	1	0	0	0	  1
	1410	            248.4	0	1	0	0	  2
	1417	            255.5	0	0	1	0	  3
	919	            240.4	0	0	0	1	  4
	943	            247.7	1	0	0	0	  1
	1175	            249.1	0	1	0	0	  2
	1269	            251.8	0	0	1	0	  3
	973	            262 	0	0	0	1	  4
	1102	            263.3	1	0	0	0	  1
	1344	            280 	0	1	0	0	  2
	1641	            288.5	0	0	1	0	  3
	1225	            300.5	0	0	0	1	  4
	1429	            312.6	1	0	0	0	  1
	1699	            322.5	0	1	0	0	  2
	1749	            324.3	0	0	1	0	  3
	1117	            333.1	0	0	0	1	  4
	1242	            344.8	1	0	0	0	  1
	1684	            350.3	0	1	0	0	  2
	1764	            369.1	0	0	1	0	  3
	1328	            356.4	0	0	0	1	  4
